titulo,autor,origen
independencias iberoamericanas nuevos problemas y aproximaciones,pilar gonzález bernaldo de quirós,bidi
psicoanálisis y teoría social,mauro pasqualini,bidi
"el laberinto de la libertad política, educación y filosofía en la obra de rousseau",vera waksman,bidi
poética astronómica el cosmos de dante alighieri,alejandro gangui,bidi
"música, dictadura, resistencia",esteban buch,bidi
quien hace tu ropa? estudios sobre la industria de la indumentaria en argentina,"matta, andres",bidi
malvinas en la geopolitica del imperialismo complejo industrial militar britanico y alianza,"winer, sonia",bidi
"estado de derecho, el foucault frente a marx y el marxismo","echavarren, roberto",bidi
"valor de la vida, el hacia una bioetica epistemologicamente fundada","kollar, marta ethel",bidi
"teoria del estado despues de poulantzas, la","sanmartino, jorge",bidi
"historia de la globalización, i",aldo ferrer,bidi
la educación sentimental de la señorita sonia,susana constante,bidi
cuadros de viaje,laura malosetti costa / autores varios,bidi
las cuestiones,nicolás casullo,bidi
historia de los partidos políticos en américa latina,torcuato s. di tella,bidi
vidaexe desafíos y aventuras de la bioinformática,aa. vv,bidi
"adolescentes, participación y ciudadanía digital",roxana morduchowicz,bidi
una república sin buitres para bajar el costo de invertir en la argentina productiva,juan josé cruces,bidi
el sentido común y la política escritos teóricos y prácticos,josé nun,bidi
museo del consumo archivos de la cultura de masas en argentina,graciela montaldo,bidi
"el poder del disenso cultura política urbana y crisis del gobierno español chuquisaca, 17771809","cabrera, nicolás",bidi
entre caciques y cartógrafos  la construccion de un limite interimperial en sudamerica s xviii,jeffrey alan erbig jr,bidi
ethos mental bioética para re-pensar la salud mental,paola buedo,bidi
"el federalismo argentino en tiempos de ajuste política y desarrollo en san luis, 19831999","guiñazú, maría clelia",bidi
la candidez progresista o el progreso según los cándidos,e. d. gross sibona,bidi
la argentina y el siglo del totalitarismo usos locales de un debate internacional,"vicente, martín",bidi
que digan dónde están una historia de los ddhh en argentina,"alonso, luciano",bidi
pensar en movimiento aportes a la práctica docente desde pensadores americanos,"tasat, jose alejandro",bidi
el archivo como gesto tres recorridos en torno a la modernidad brasileña,"cámara, mario",bidi
la teoría de la agenda setting en jaque los porteños y los medios de comunicación,"cabrera, daniel",bidi
la invención de la música latinoamericana,pablo palomino,bidi
notas de paso,federico monjeau,bidi
1983 un proyecto inconcluso,jennifer adair,bidi
método fácil y rápido para ser lector,eduardo berti,bidi
deseo de combate y muerte el terrorismo de estado como cosa de hombres,santiago garaño,bidi
pandemia un balance social y político de la crisis del covid-19,daniel feierstein,bidi
en torno a lo político,chantal mouffe,bidi
el socialismo romántico en el río de la plata,horacio tarcus,bidi
"abismos de la modernidad reflexiones en torno a hannah arendt, claude lefort y leo strauss",claudia hilb,bidi
la moneda imposible,alexandre roig,bidi
a marchas forzadas mecanismos sociales y  democracia en épocas de pandemia,"russo, juan",bidi
la democratización a través de las instituciones,"anderson, leslie e",bidi
fútbol y patria 5ta edición,"alabarces, pablo",bidi
érase una vez la fiat en argentina una cadena de montaje entre memorias e historias,"robertini, camillo",bidi
orgullo marica conversaciones con cesar cigliutti,"soto, facundo r",bidi
"paisajes sensibles subjetividad, salud y patrimonio en el espacio verde intrahospitalario","campari, gabriela",bidi
entender vaca muerta fracking ¿zona de sacrifios ambientales o tierra prometida?,"sapag, luis felipe",bidi
campesinos y estancieros una región del río de la plata a finales de la época colonial,jorge gelman,bidi
poética de los objetos analizar y escribir ficción,irene klein,bidi
fanatismos prácticas de consumo de la cultura de masas,libertad borda y federico álvarez gandolfi (compiladores),bidi
los origenes de la dependencia argentina algunas razones historicas de nuestra actualidad,"niebuhr, jorge",bidi
"las estrategias de la aurora un siglo de revoluciones rusia, españa, vietnam","cazes camarero, pedro",bidi
figuraciones de la otredad en el cine contemporaneo,"veliz, mariano",bidi
la izquierda que asalto el algoritmo fraternidad y digna rabia en tiempos del big data,"monedero,juan carlos",bidi
la articulacion necesaria docencia e investigacion en las facultades de derecho,"orler, jose",bidi
cuerpo y sociedad una comprension de las relaciones humanas desde la corporeidad,susana maldonado,bidi
la izquierda peronista,"gil, german",bidi
impurezas trazos de una antropologia filosofica,"colombani, maria cecilia",bidi
cambios en el mejoramiento de la calidad de las instituciones universitarias,"de vincenzi, ariana",bidi
tramas de la desigualdad las politicas y el bienestar en disputa,"grassi, estela / hintze, susana",bidi
la salud de nuestra america una perspectiva historico-antropologica,"kohl, alejandro",bidi
la centenaria apuesta de la argentina democratica,"ollier, maria matilde",bidi
la educacion fisica en la educacion secundaria reflexion sobre las practicas de la enseñanza,"gayol, maria lucila (coord)",bidi
fenomenologia de lo inaparente,"inverso, hernan",bidi
ritmos y rupturas visiones literarias acerca de una realidad,"pizarro, cristina",bidi
camino hacia una tierra socialista,césar vallejo,bidi
materiales para un autorretrato,walter benjamin,bidi
"cruzar fronteras, reclamar una nación historia de las mujeres judías argentinas",sandra mcgee deustch,bidi
el nuevo rostro de la democracia,isidoro cheresky,bidi
más de una lengua,barbara cassin,bidi
historia del peronismo un manual para su investigacion,omar acha y otros,bidi
argentina historia minima,pablo yankelevich,bidi
teologia politica,mario tronti,bidi
como dijo martín fierro  interpretaciones y usos del poema de josé hernández durante el siglo xx,matías emiliano casas,bidi
la actualidad del comunismo,"bosteels, bruno",bidi
el hilo de ariadna propuestas metodologicas para la investigacion historica,"salomon tarquini, claudia y otros",bidi
efecto helicoptero como reemplazar  malos gobernantes sin golpes de estado?,"eberhardt, maria laura",bidi
infancias peronistas la cultura fisica y el deporte en la fundacion eva peron,"almada, cecilia elena",bidi
gestionar lo publico con estilo empresarial,"perez, fernando",bidi
materrealismo,"binetti, maria jose",bidi
la filosofia en el siglo xx,"alvarez, ricardo (compilador)",bidi
la filosofia en el siglo xx,"alvarez, ricardo (compilador)",bidi
la empresa domingo barthe extractivismo yerbatero-maderero en la frontera alto paranaense,"alcaraz, alberto daniel",bidi
"la politica de dar en el virreinato del rio de la plata donantes, prestamistas, subditos, ciudadanos","grieco, viviana",bidi
"figuras, figuraciones momentos retoricos del cine","tassara, mabel",bidi
el juego en los límites,norma bruner,bidi
teoría y crítica del estado,aníbal d'auria,bidi
difusión de derechos y ciudadanía en la escuela,juan antonio seda,bidi
lecciones del maestro ciruela,ricardo cabrera,bidi
ensambles perspectivas y problemáticas de las subjetividades contemporáneas,horacio medina (coord),bidi
historia de un viaje a las islas malvinas,dom pernety,bidi
hacia un estilo de vida saludable,andré blake,bidi
el rey lear,william shakespeare,bidi
el espacio del enfermo problemas y cuestiones filosoficas en el campo de la salud,"dei, daniel",bidi
la educacion negada aportes desde un pensamiento americano,"tasat, jose alejandro",bidi
"etica erotica politica, tecnologia y gestion de los placeres","barra ruata, abelardo",bidi
"cristina, un espectaculo politico cuerpos, colectivos y relatos en la ultima presidencia","cingolani, gaston / fernandez, mariano",bidi
lacan en entredicho para una lectura critica de la tercera,"said, eduardo",bidi
divertidas aventuras del nieto de juan moreira,roberto j. payró,bidi
génesis política del discurso religioso,juan eduardo bonnin,bidi
el estado y otros ensayos,émil durkheim,bidi
el payador,leopoldo lugones,bidi
la política y la historia maquiavelo y vico,"esposito, roberto",bidi
anarqueologías ética y política de la lectura errada,"graff zivin, erin",bidi
"fútbol, violencia y estado una historia política de la seguridad deportiva en argentina","murzi, diego",bidi
las identidades colectivas entre los ideales y la ficción estudios de filosofía de la historia,"acha, omar",bidi
opacidad y relativismo la situacionalidad del conocimiento en tension merleau ponty y foucault,"cormick, claudio",bidi
la cautiva - el matadero,esteban echeverría,bidi
realismo y realidad en la narrativa argentina,juan carlos portantiero,bidi
osvaldo reig la vida itinerante de un biólogo evolucionista,montserrat ponsá fontanals,bidi
epistemología fronteriza,cora escolar y juan besse,bidi
el carapachay,domingo faustino sarmiento,bidi
paisanos itinerantes orden estatal y experiencia subalterna en bs aires durante el rosismo,"salvatore, ricardo",bidi
metodos arpoximaciones a un campo problemático,"farran, roque / biset, emmanuel",bidi
"politica, estado y administracion publica en las provincias argentinas 1976-2015 vol 2","cao, horacio",bidi
kilometros a tus pies los secretos para nunca detenerse,"castillo, jorge",bidi
la realidad social en john searle ejercicios de filosofia de la sociedad,"dottori, ariel",bidi
"suharto, brujos, la alquibla y el judío mediático",james t. siegel,bidi
de un autor censurado en el quijote antonio de torquemada,alfonso reyes,bidi
sociología del renacimiento,alfred von martín,bidi
el protestantismo y el mundo moderno,ernst troeltsch,bidi
"hombre, signo y cosmos la filosofía de charles s peirce",darin mcnabb,bidi
el libro de los libros de chilam balam,anónimo anónimo,bidi
manual de derecho económico,ricardo ramírez hernández,bidi
de la carrera de la edad ii de regreso,gonzalo celorio,bidi
la conciencia viviente,josé luis díaz,bidi
heidegger,george steiner,bidi
el imperio de papel de juan díez de la calle pensar y gobernar el nuevo mundo en el siglo xvii,guillaume gaudin,bidi
liberalismo oligárquico y política económica positivismo y economía política del porfiriato,leonardo lomelí vanegas,bidi
la reforma,pablo mijangos y gonzález,bidi
"obras completas, xi última tule, tentativas y orientaciones, no hay tal lugar",alfonso reyes,bidi
"la edad media, iii castillos, mercaderes y poetas",umberto eco,bidi
la sociedad de los primates,julia fischer,bidi
la paz 1876,mauricio tenorio trillo,bidi
"lecciones de física de feynman, i mecánica, radiación y calor",richard p. feynman,bidi
la ordenación constitucional de la economía del estado regulador al estado garante,josé roldán xopa,bidi
«yo soy aquel que ayer no más decía» libros poéticos completos,rubén darío,bidi
antología,josé  martí,bidi
ciencia y literatura,miguel de asúa,bidi
desde otra mirada,christian courtis,bidi
descripción,maría isabel filinich,bidi
diseño social ensayos sobre diseño social en la argentina 2000-2018,"nieto, maria laura",bidi
contratos electrónicos,luciana beatriz  scotti,bidi
"criminología, ciencia y cambio social",carlos alberto elbert,bidi
camélidos sudamericanos,bibiana vilá,bidi
cuadernos,lucien  lévy-bruhl,bidi
la estructura de las revoluciones científicas,thomas s. kuhn,bidi
electra,sófocles,bidi
más vale maña que fuerza,manuel tamayo y baus,bidi
plick y plock,eugène sue,bidi
un libro para las damas estudios acerca de la educación de la mujer,maría del pilar sinués de marco,bidi
carlos broschi,eugène scribe,bidi
viage al rio de la plata y paraguay,ulrich schmidel,bidi
la puerta de bronce y otros cuentos,manuel romero de terreros,bidi
"la caza de la perdiz con escopeta, al vuelo y con perro de muestra",manuel saurí,bidi
ariel,josé enrique rodó,bidi
don francisco de quevedo drama en cuatro actos,eulogio florentino sanz,bidi
a flor de piel,gustavo sánchez galarraga,bidi
el consejo de los dioses,josé rizal,bidi
junto al pasig,josé rizal,bidi
a first spanish reader,alfred remy,bidi
"maría luisa, leyenda histórica",andrés portillo,bidi
la cuerda del ahorcado últimas aventuras de rocambole i el loco de bedlam,pierre alexis ponson du terrail,bidi
dulce y sabrosa,jacinto octavio picón,bidi
paginas sudamericanas,helen phipps,bidi
fortuna,enrique pérez escrich,bidi
cuentos de mi tiempo,jacinto octavio picón,bidi
